Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Nomar Mazara,- - -,Nomar Mazara,2018,396,0.285229049,0.667393938,0.511194029,0.19402985,0.34701493,0.04040404,0.275252525,Nomar Mazara,14553,608577
Odúbel Herrera,PHI,Odúbel Herrera,2018,362,0.307828565,0.706547618,0.537313432,0.201492537,0.24175824,0.041436464,0.182320441,Odubel Herrera,11476,546318
Omar Narváez,- - -,Omar Narváez,2018,306,0.269450612,0.576489862,0.394871794,0.215384615,0.23737374,0.133986928,0.202614379,Omar Narvaez,13338,553882
Pavin Smith,ARI,Pavin Smith,2020,264,0.262836309,0.586633973,0.516666666,0.161111111,0.32222222,0.071969696,0.238636363,Pavin Smith,19892,656976
Rafael Devers,BOS,Rafael Devers,2018,1035,0.316706552,0.732869927,0.49255751,0.194857916,0.30904184,0.05410628,0.211594202,Rafael Devers,17350,646240
Raimel Tapia,- - -,Raimel Tapia,2018,405,0.291501211,0.669753749,0.631578947,0.2,0.17647059,0.041975308,0.239506172,Raimel Tapia,14350,606132
Riley Greene,DET,Riley Greene,2022,212,0.31924713,0.723826801,0.616541353,0.2481203,0.33834586,0.070754716,0.297169811,Riley Greene,25976,682985
Robinson Canó,- - -,Robinson Canó,2018,307,0.327874796,0.75542888,0.565789473,0.179824561,0.31168831,0.071661237,0.153094462,Robinson Cano,3269,429664
Ronald Guzmán,- - -,Ronald Guzmán,2018,209,0.240087942,0.551403761,0.488549618,0.20610687,0.32824427,0.076555023,0.291866028,Ronald Guzman,14388,608597
Rougned Odor,- - -,Rougned Odor,2018,658,0.304806939,0.697961193,0.378590078,0.190600522,0.39608802,0.085106382,0.267477203,Rougned Odor,12282,596059
Rowdy Tellez,- - -,Rowdy Tellez,2018,428,0.301569004,0.694237985,0.472527472,0.183150183,0.38095238,0.088785046,0.264018691,Rowdy Tellez,15679,642133
Ryan McMahon,COL,Ryan McMahon,2018,781,0.298322225,0.685421244,0.483940042,0.197002141,0.35849057,0.09090909,0.290653008,Ryan McMahon,15112,641857
Scooter Gennett,- - -,Scooter Gennett,2018,232,0.313909367,0.729710144,0.412121212,0.242424242,0.38095238,0.051724137,0.219827586,Scooter Gennett,10339,571697
Seth Brown,OAK,Seth Brown,2019,203,0.228796916,0.506723471,0.424,0.192,0.264,0.073891625,0.30049261,Seth Brown,18171,664913
Shin-Soo Choo,TEX,Shin-Soo Choo,2018,437,0.291950797,0.652281458,0.575187969,0.19924812,0.36567164,0.084668192,0.265446224,Shin-Soo Choo,3174,425783
Shohei Ohtani,LAA,Shohei Ohtani,2018,902,0.350589752,0.830915852,0.498113207,0.186792452,0.40150094,0.109756097,0.288248337,Shohei Ohtani,19755,660271
Steven Duggar,- - -,Steven Duggar,2018,203,0.258781848,0.58734369,0.49122807,0.219298245,0.24137931,0.078817733,0.344827586,Steven Duggar,17719,621453
Steven Kwan,CLE,Steven Kwan,2022,364,0.293202549,0.65626988,0.519434628,0.215547703,0.18900344,0.071428571,0.12087912,Steven Kwan,24610,680757
Tommy La Stella,- - -,Tommy La Stella,2018,222,0.269580406,0.60488446,0.480446927,0.212290502,0.25139665,0.081081081,0.09009009,Tommy La Stella,12371,600303
Tony Kemp,- - -,Tony Kemp,2018,378,0.317885292,0.709787628,0.436974789,0.197478991,0.25769231,0.113756613,0.171957671,Tony Kemp,14894,643393
Travis Shaw,- - -,Travis Shaw,2018,277,0.249803119,0.552079498,0.41081081,0.172972972,0.26984127,0.086642599,0.220216606,Travis Shaw,11982,543768
Trent Grisham,- - -,Trent Grisham,2019,518,0.327489398,0.748131539,0.46,0.196666666,0.27777778,0.1003861,0.254826254,Trent Grisham,18564,663757
Tyler Naquin,- - -,Tyler Naquin,2018,246,0.252689928,0.579991217,0.47928994,0.207100591,0.22807018,0.052845528,0.235772357,Tyler Naquin,13359,571980
Willie Calhoun,- - -,Willie Calhoun,2018,242,0.293244168,0.68966942,0.434065934,0.159340659,0.33516484,0.057851239,0.169421487,Willie Calhoun,17838,641432
Yonder Alonso,- - -,Yonder Alonso,2018,209,0.301106315,0.699792078,0.390070921,0.19858156,0.32624113,0.071770334,0.244019138,Yonder Alonso,2530,475174
Yordan Alvarez,HOU,Yordan Alvarez,2019,731,0.397809278,0.946542363,0.438923395,0.221532091,0.41649485,0.105335157,0.214774281,Yordan Alvarez,19556,670541
