Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Keibert Ruiz,Right,Left,2020,804,0.309698263,0.71108455,0.374223602,0.220496894,0.31521739,0.063432835,0.124378109,Keibert Ruiz,19610,660688
Ketel Marte,Right,Left,2018,2080,0.335475364,0.781861714,0.455149501,0.205315614,0.36411609,0.1,0.165384615,Ketel Marte,13613,606466
Kevin Kiermaier,Right,Left,2018,1506,0.299006748,0.697310214,0.535960591,0.184236453,0.32846004,0.080345285,0.229747675,Kevin Kiermaier,11038,595281
Kole Calhoun,Right,Left,2018,1603,0.306431005,0.718531828,0.380670611,0.228796844,0.40649606,0.094198378,0.262632563,Kole Calhoun,11200,594777
Kolten Wong,Right,Left,2018,1875,0.327866861,0.755287765,0.411629686,0.214996174,0.30654762,0.0848,0.168533333,Kolten Wong,12532,543939
Kyle Isbel,Right,Left,2021,546,0.278709121,0.644476348,0.375,0.1796875,0.33503836,0.054945054,0.223443223,Kyle Isbel,21614,664728
Kyle Schwarber,Right,Left,2018,2297,0.36857814,0.884083608,0.370481927,0.177710843,0.40943114,0.144101001,0.269046582,Kyle Schwarber,16478,656941
Kyle Seager,Right,Left,2018,1322,0.306682884,0.719764076,0.320652173,0.198913043,0.39761647,0.096066565,0.197428139,Kyle Seager,9785,572122
Kyle Tucker,Right,Left,2018,1443,0.36066389,0.855002199,0.348469891,0.22112537,0.3726647,0.112959112,0.173250173,Kyle Tucker,18345,663656
LaMonte Wade Jr.,Right,Left,2019,1094,0.347841408,0.802626294,0.334710743,0.213498622,0.35245902,0.124314442,0.191042047,LaMonte Wade Jr.,18126,664774
Lars Nootbaar,Right,Left,2021,756,0.345292135,0.795664644,0.45951417,0.184210526,0.36779324,0.141534391,0.19047619,Lars Nootbaar,21454,663457
Leody Taveras,Right,Left,2020,863,0.297975372,0.688178654,0.410034602,0.226643598,0.31871838,0.062572421,0.246813441,Leody Taveras,18900,665750
