Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Kris Bryant,Right,Right,2018,1783,0.336762944,0.775755549,0.381158167,0.221261884,0.32700604,0.099270891,0.223780145,Kris Bryant,15429,592178
Kurt Suzuki,Right,Right,2018,877,0.30213619,0.69846308,0.34672619,0.226190476,0.33135215,0.064994298,0.139110604,Kurt Suzuki,8259,435559
Kyle Farmer,Right,Right,2018,1282,0.287750518,0.657552319,0.434543454,0.233223322,0.32166302,0.048361934,0.209048361,Kyle Farmer,14813,571657
Kyle Higashioka,Right,Right,2018,638,0.271145865,0.629776388,0.353919239,0.197149643,0.35529412,0.062695924,0.269592476,Kyle Higashioka,5517,543309
Lane Thomas,Right,Right,2019,1087,0.300495661,0.692447852,0.459420289,0.166666666,0.32608696,0.073597056,0.27598896,Lane Thomas,16939,657041
Lewis Brinson,Right,Right,2018,738,0.227669462,0.523072802,0.480167014,0.181628392,0.34161491,0.036585365,0.296747967,Lewis Brinson,14352,621446
Logan Forsythe,Right,Right,2018,517,0.29534279,0.662612759,0.482142857,0.208333333,0.38095238,0.108317214,0.230174081,Logan Forsythe,7185,523253
Lorenzo Cain,Right,Right,2018,1233,0.313187879,0.709662619,0.557930258,0.206974128,0.3295838,0.08515815,0.178426601,Lorenzo Cain,9077,456715
Lourdes Gurriel Jr.,Right,Right,2018,1788,0.334005911,0.782309417,0.424542682,0.214939024,0.34700076,0.058165548,0.195190156,Lourdes Gurriel Jr.,19238,666971
Luis Robert Jr.,Right,Right,2020,1194,0.334007146,0.786298605,0.389095415,0.218091697,0.32342007,0.049413735,0.256281407,Luis Robert Jr.,20043,673357
Luis Urías,Right,Right,2018,1216,0.307732974,0.691237134,0.442875481,0.183568677,0.32608696,0.112664473,0.216282894,Luis Urias,16622,649966
Luke Maile,Right,Right,2018,590,0.279790664,0.624257122,0.456521739,0.201086956,0.27956989,0.086440677,0.264406779,Luke Maile,13355,571912
