Name,Pitcher Handedness,Hitter Handedness,Season,PA,wOBA,OPS,LD%,GB%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Nelson Cruz,Left,Right,2018,819,0.384141248,0.931891382,0.189781021,0.450729927,0.42335766,0.107448107,0.201465201,Nelson Cruz,2434,443558
Nick Ahmed,Left,Right,2018,713,0.310658908,0.731868426,0.220113851,0.421252371,0.37618147,0.070126227,0.186535764,Nick Ahmed,12147,605113
Nick Castellanos,Left,Right,2018,808,0.391048395,0.930704697,0.23559322,0.413559322,0.39491525,0.065594059,0.196782178,Nick Castellanos,11737,592206
Nick Madrigal,Left,Right,2020,252,0.292628163,0.67184456,0.214611872,0.584474885,0.22666667,0.031746031,0.075396825,Nick Madrigal,20521,663611
Nick Senzel,Left,Right,2019,409,0.339110883,0.793624047,0.199346405,0.450980392,0.37337662,0.061124694,0.161369193,Nick Senzel,19293,669222
Nick Solak,Left,Right,2019,336,0.345095701,0.790704665,0.189655172,0.495689655,0.30901288,0.074404761,0.19345238,Nick Solak,19294,669256
Nico Hoerner,Left,Right,2019,417,0.319010921,0.731080251,0.236151603,0.443148688,0.24489796,0.059952038,0.11031175,Nico Hoerner,21479,663538
Niko Goodrum,Left,Right,2018,392,0.354151433,0.825440431,0.239543726,0.52851711,0.3460076,0.094387755,0.232142857,Niko Goodrum,12092,592348
Nolan Arenado,Left,Right,2018,844,0.394139212,0.952533477,0.212933753,0.301261829,0.39905363,0.104265402,0.14099526,Nolan Arenado,9777,571448
Orlando Arcia,Left,Right,2018,480,0.316055399,0.72875874,0.206997084,0.510204081,0.35755814,0.097916666,0.183333333,Orlando Arcia,13185,606115
Óscar Mercado,Left,Right,2019,371,0.306586216,0.714713318,0.21590909,0.382575757,0.32846715,0.067385444,0.185983827,Oscar Mercado,16375,640458
Owen Miller,Left,Right,2021,338,0.271114695,0.613843089,0.247826086,0.408695652,0.3173913,0.068047337,0.24260355,Owen Miller,24655,680911
Ozzie Albies,Left,Right,2018,777,0.39298206,0.935971685,0.221350078,0.405023547,0.3640625,0.034749034,0.137709137,Ozzie Albies,16556,645277
Pat Valaika,Left,Right,2018,280,0.281261756,0.649648632,0.264864864,0.297297297,0.29255319,0.082142857,0.246428571,Pat Valaika,14885,642162
Patrick Wisdom,Left,Right,2018,422,0.345765387,0.814814814,0.207373271,0.31797235,0.42009132,0.090047393,0.381516587,Patrick Wisdom,13602,621550
Paul DeJong,Left,Right,2018,556,0.274128311,0.618163806,0.183800623,0.330218068,0.34890966,0.104316546,0.300359712,Paul DeJong,18015,657557
Paul Goldschmidt,Left,Right,2018,814,0.425066825,1.014649443,0.238549618,0.356870229,0.45038168,0.144963144,0.205159705,Paul Goldschmidt,9218,502671
Pedro Severino,Left,Right,2018,435,0.322665717,0.7578114,0.257525083,0.367892976,0.31561462,0.085057471,0.218390804,Pedro Severino,14523,600474
Pete Alonso,Left,Right,2019,813,0.359110363,0.869336221,0.181818181,0.363636363,0.35757576,0.130381303,0.244772447,Pete Alonso,19251,624413
Phil Gosselin,Left,Right,2018,295,0.305022096,0.687653145,0.160194174,0.417475728,0.3125,0.088135593,0.2,Phil Gosselin,10953,594838
Ramón Laureano,Left,Right,2018,601,0.34073252,0.790523257,0.229591836,0.433673469,0.34183673,0.079866888,0.244592346,Ramon Laureano,17128,657656
Ramón Urías,Left,Right,2020,392,0.300694302,0.686404138,0.179389312,0.48091603,0.35741445,0.081632653,0.237244897,Ramon Urias,18795,602104
Randal Grichuk,Left,Right,2018,882,0.359034612,0.85333677,0.180685358,0.395638629,0.39563863,0.063492063,0.205215419,Randal Grichuk,10243,545341
Randy Arozarena,Left,Right,2019,527,0.39030075,0.923783098,0.172106824,0.427299703,0.35103245,0.102466793,0.239089184,Randy Arozarena,19290,668227
Renato Núñez,Left,Right,2018,367,0.32161533,0.765445979,0.194552529,0.330739299,0.3385214,0.068119891,0.217983651,Renato Nunez,14503,600524
Rhys Hoskins,Left,Right,2018,721,0.389443727,0.914844949,0.212471131,0.295612009,0.38568129,0.176144244,0.202496532,Rhys Hoskins,16472,656555
Rob Refsnyder,Left,Right,2018,365,0.359641584,0.811157795,0.285106382,0.412765957,0.34042553,0.139726027,0.202739726,Rob Refsnyder,13770,608701
Robbie Grossman,Left,Right,2018,727,0.368942091,0.845199197,0.259340659,0.358241758,0.27352298,0.152682255,0.213204951,Robbie Grossman,5254,543257
Roberto Pérez,Left,Right,2018,308,0.326618002,0.756982253,0.172619047,0.511904761,0.41618497,0.133116883,0.301948051,Roberto Perez,2900,547379
Robinson Chirinos,Left,Right,2018,403,0.336085364,0.771518996,0.221719457,0.371040723,0.38288288,0.148883374,0.29032258,Robinson Chirinos,3142,455139
