Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Christian Villanueva,SDP,Christian Villanueva,2018,259,0.254797788,0.574153985,0.329479768,0.202312138,0.28323699,0.05019305,0.25096525,Christian Villanueva,11738,570799
Christian Walker,ARI,Christian Walker,2018,1935,0.336130158,0.788628858,0.397553516,0.184250764,0.3853211,0.085788113,0.225839793,Christian Walker,13419,572233
Christopher Morel,CHC,Christopher Morel,2022,634,0.33869972,0.790463721,0.467213114,0.166666666,0.38709677,0.08044164,0.328075709,Christopher Morel,21897,666624
Clint Frazier,- - -,Clint Frazier,2018,513,0.33036397,0.763217567,0.407407407,0.212121212,0.30976431,0.116959064,0.288499025,Clint Frazier,15983,640449
Connor Joe,- - -,Connor Joe,2019,731,0.318279957,0.717232789,0.397435897,0.237179487,0.31276596,0.112175102,0.229822161,Connor Joe,16572,656582
Connor Wong,BOS,Connor Wong,2021,341,0.322586478,0.747232366,0.453658536,0.190243902,0.31428571,0.055718475,0.313782991,Connor Wong,19896,657136
Cristian Pache,- - -,Cristian Pache,2020,264,0.172334483,0.373915795,0.56462585,0.156462585,0.21935484,0.056818181,0.348484848,Cristian Pache,19948,665506
Curt Casali,- - -,Curt Casali,2018,643,0.298731437,0.67900954,0.32722513,0.240837696,0.33074935,0.107309486,0.275272161,Curt Casali,12510,592200
Daniel Robertson,- - -,Daniel Robertson,2018,464,0.30748047,0.681008433,0.510869565,0.18115942,0.32129964,0.11637931,0.252155172,Daniel Robertson,14145,621002
Danny Jansen,TOR,Danny Jansen,2018,960,0.327674377,0.761583378,0.35660091,0.195751138,0.37405732,0.084375,0.204166666,Danny Jansen,16535,643376
Danny Mendick,- - -,Danny Mendick,2019,317,0.298539456,0.682062381,0.457013574,0.23076923,0.22222222,0.075709779,0.205047318,Danny Mendick,18889,664901
Dansby Swanson,- - -,Dansby Swanson,2018,2575,0.322876977,0.751767748,0.404973357,0.211367673,0.35276796,0.083106796,0.248932038,Dansby Swanson,18314,621020
Darin Ruf,- - -,Darin Ruf,2020,429,0.305600991,0.682725382,0.466666666,0.2375,0.3375,0.125874125,0.307692307,Darin Ruf,9929,573131
David Bote,CHC,David Bote,2018,827,0.311797402,0.719228244,0.497120921,0.186180422,0.35440613,0.096735187,0.255139056,David Bote,14593,623520
David Fletcher,LAA,David Fletcher,2018,1465,0.287996036,0.656748428,0.457190357,0.243557772,0.21212121,0.053924914,0.109215017,David Fletcher,17992,664058
Dawel Lugo,DET,Dawel Lugo,2018,300,0.266804197,0.629186991,0.548245614,0.22368421,0.35526316,0.033333333,0.196666666,Dawel Lugo,14713,608475
Delino DeShields,- - -,Delino DeShields,2018,656,0.276630309,0.608484538,0.484375,0.223958333,0.27336449,0.108231707,0.233231707,Delino DeShields,11379,592261
Devon Travis,TOR,Devon Travis,2018,277,0.27178129,0.62320544,0.526570048,0.212560386,0.29951691,0.050541516,0.184115523,Devon Travis,13862,581527
